--- model size ---
model: 54,914,696
======= start training =======
epoch: 9 |   1/  5 | exp/workdir | batch/s: 2.48 | lr: 0.0002 | loss: 0.561 | time: 0:00:35.0 | step: 47
epoch: 9 |   2/  5 | exp/workdir | batch/s: 2.47 | lr: 0.0002 | loss: 0.542 | time: 0:00:35.4 | step: 48
epoch: 9 |   3/  5 | exp/workdir | batch/s: 2.47 | lr: 0.0002 | loss: 0.530 | time: 0:00:35.8 | step: 49
epoch: 9 |   4/  5 | exp/workdir | batch/s: 4.64 | lr: 0.0002 | loss: 0.615 | time: 0:00:36.0 | step: 50
epoch: 10 |   0/  5 | exp/workdir | batch/s: 2.23 | lr: 0.0002 | loss: 0.502 | time: 0:00:36.4 | step: 51
epoch: 10 |   1/  5 | exp/workdir | batch/s: 2.47 | lr: 0.0002 | loss: 0.538 | time: 0:00:36.8 | step: 52
epoch: 10 |   2/  5 | exp/workdir | batch/s: 2.56 | lr: 0.0002 | loss: 0.532 | time: 0:00:37.2 | step: 53
epoch: 10 |   3/  5 | exp/workdir | batch/s: 2.44 | lr: 0.0002 | loss: 0.487 | time: 0:00:37.6 | step: 54
epoch: 10 |   4/  5 | exp/workdir | batch/s: 4.61 | lr: 0.0002 | loss: 0.452 | time: 0:00:37.8 | step: 55
epoch: 11 |   0/  5 | exp/workdir | batch/s: 2.29 | lr: 0.0002 | loss: 0.501 | time: 0:00:38.3 | step: 56
epoch: 11 |   1/  5 | exp/workdir | batch/s: 2.47 | lr: 0.0002 | loss: 0.508 | time: 0:00:38.7 | step: 57
epoch: 11 |   2/  5 | exp/workdir | batch/s: 2.39 | lr: 0.0002 | loss: 0.522 | time: 0:00:39.1 | step: 58
epoch: 11 |   3/  5 | exp/workdir | batch/s: 2.47 | lr: 0.0002 | loss: 0.496 | time: 0:00:39.5 | step: 59
epoch: 11 |   4/  5 | exp/workdir | batch/s: 4.53 | lr: 0.0002 | loss: 0.518 | time: 0:00:39.7 | step: 60
epoch: 12 |   0/  5 | exp/workdir | batch/s: 2.29 | lr: 0.0002 | loss: 0.506 | time: 0:00:40.2 | step: 61
epoch: 12 |   1/  5 | exp/workdir | batch/s: 2.46 | lr: 0.0002 | loss: 0.532 | time: 0:00:40.6 | step: 62
epoch: 12 |   2/  5 | exp/workdir | batch/s: 2.39 | lr: 0.0002 | loss: 0.519 | time: 0:00:41.0 | step: 63
